landingPagePath,sessions,sessionDuration,avgSessionDuration,bounces,bounceRate,pageViews,avgTimeOnPage,pageViewsPerSession,exits,exitRate
/?fbclid=IwAR021FFvgeH3ZG3FpSusSIntnHOdOLio3j_l0nBQKSoUDD4hNjSza2OS3W8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR02B_2DT64cGCdVPC8Mgo_iwfq9dtZbSgp6lX82p0oYvdUS1zopV6qJL1I,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR02HYGi6Ji5bAtmKWjXCJupVGFyiOZa5fm1bJzIvtSTo1q5f77Z0piS3MQ,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR02k0TDzvr1pNpMBd7_7Xt6Kq1a0M6FsuhrqTbmKX6X39-9FdylpyskRiw,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR02rz1G0igasHqNnlxUPpQSujkQkilSdyMElQ_nmPaVN4r-PrEH8nyRf0o,1,39,39,0,0,3,19.5,3,1,33.33333333333333
/?fbclid=IwAR03PaAfgT-aDwgz3_p3NPt6RKAPaxIBOywg06lrOcCB-ogOUEIKiRf2sww,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR03QwZGtd5IVXqq1MLI_UNWV68madCw6Zmj7K6jepJJfT0VM0gX3GTWHa4,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR03SKhAe5vZnZuMfaiA2nmx9Ze5jlBCjmZq2_QKgxsakKoOke54uQlALS8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR04pPVi9QklrO6GhEsBQKistuBZq_YVZyNt96-1_NAwRSwweI0sg7E2Lw8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR04UjEWEu8-mBytOg3n7pUGR4OhF2-l7fUcqhwr3_jTZfDum1ddHHuOcvI,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR05nGuKuPEslNvWmVlS99oLqb4H7tw3ARpWvLe_df6jm7JQalTjMa7C0M8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR061pmvj31loHEtfkyEmi6NfvDPTWqHuagnbeM8ba8kKOYfjLHjmk7LDKU,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR07pxQzLbknCf6spN8noHeAPS1b9rD5z2rTbZb5Rd_-bHJOWgQ3OVlptxU,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR09tiTF4wrX1bp4KhGGFPsp9BjRUupHDoOwbh84LhqnaEwxhdKgA6oMbLc,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR09vgyDd_vRvdxDU5FiQEXJdwvK5bYYxHb6eKoTmsUnohjYtRGHyTuk0cA,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0a4XKKrNVfbDX699TrhGKIYvWpQYC0JIDOUBbUHvCR7NjFnb-MvpAYLzo,1,8,8,0,0,2,8,2,1,50
/?fbclid=IwAR0awz9vZPTrMhSAI9RgKKTXXlpGFbceglIKQP0JbLLNQYmdcYwYGloYG44,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0azkMSFfHJ5eb4WR6LaYtDNKts9t3W35fW2uUWiCJGPysHFTRJkMy9-Ho,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0b2rbw9QNMNpPXRkP6qA0St1hXrijlQjJaYa0elJcZsfPKxwh5qhjnu3Y,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0Bf6Do3cP0hleY4bLBtD4vrWt0KTeghrDlyQxO6ssLJOx6dKTT-yNvrQQ,1,9,9,0,0,2,9,2,1,50
/?fbclid=IwAR0BhpWpGQD0uaYBRaRp6k5ZU4Y8KPmHL_r-cczv27snGWDHfPkAKsyK5lk,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0bNH0OYMEKeT5noeWsfxsRqCg7ZJ85HiMm-j3cwXmIOqXjI9d2Gk5aZoQ,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0BQ3kLGsseFWRQEwoPXUHsDak81oVplA0QLTRHJK20sqoyLsB5hloEqes,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0c4JBm77L_0vEIF_PNZhYOeFPLuocFmUpbVLz6l2xJqhO8d7rLEM6B_eU,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0CjulIOrzwh8h0dY-jPzFMyBtomuFX8Rcs5dITrCCZsTbklf_7ygA73fU,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0cqczHgc_z9G63wqp9LolsLOosc4hEe3UWLRKMad0tELuKGLgdg9UnE_A,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0Cs9efQSb0Ri8VdZjqPQbl6r9KqcFMdnYjw8O2-HKhulgbSfzOeTCxTlI,2,0,0,2,100,2,0,1,2,100
/?fbclid=IwAR0Cvv7j5X0B3fWRnU4eCaWcVNksnp6YTkunEcdmsBlbyp-cUa-mKdo-vaM,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0CZyJgMrLK-NreKPZUa6sB69CD4vNdqTU5ajUqVoy6gJB3Ahhb8XfaW44,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0d4zb-GepOy_N5KsepI4oTq6GBetX4FhvlOvq7sXypxi5GKT83fQw9uOY,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0dKVhIqof6fREoVKLgChXuOUrCoa5qgpI0XB6jeHV6K8fwW_u6OAggWHQ,1,14,14,0,0,3,7.5,3,1,33.33333333333333
/?fbclid=IwAR0DYvz-8rU86SvZuVU7UqRoGXWjEvts6ocSQ5kiPVozJy7bTstQR2minMY,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0E5s7CT0Uy1VOMCnxvxN8qKKzc6swQ9HMkj_xK8NMVDlzaoZc1YexdAtI,1,1,1,0,0,2,1,2,1,50
/?fbclid=IwAR0eP1hFiK3p2DAtNJoDvbQjNllNmP2h6nT16WHid6hgOcAmy1aOlRDsCP8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0Esps86hHagOlk9MSO4HmEqMg-wl0TuOq-njwUhOmbP5IsXiWOxtkhl8M,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0G1buZtWs5B_i0ZgSxlux_GSSHmr3fH-CZ9dEnGo88yXuDoex_P1XL368,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0g4231OuwsPCs12nPJxnFXXkkyw7kZ4sGsvK4zaq3TmoOMwJGJb2I5clQ,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0G6IgcyJqxbsUrQamovEulwjHFcycUn7oQlEuNAQl9f0rR32XQvszZbZ0,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0Gmf51URqLOoqIjimUZNlOnqyadnKSiBGg4u3clbE-FFslG9tMpQgdieg,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0GWYbplItCxdwilHlyBT2FmvEoOcJ1BuViRhgCE83F0ZMsNQ3xBHp2r58,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0H6EM384w2YhwuXZ8PEiyug6kam_RWEHXk1WN7girzHKYwxHjSapQHUr8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0hbvK9hSHFCYtmJFNShYdiY5B2Qwg6GNWWRuH-f8dLBuj_gLBTnY0Qsp4,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0HseHyGIIefGFGGmbUVgaCRUJuNn-GR5AHV79bLSeWy95rexPFF-7D7l0,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0IAUgEklSNxyTfZL8nMXL9DghMBdcbMncM1lp9hAQZG9xcKG2KBgM0LjY,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0jKKZ848Pzcx8S3a5P5YaRCrSFgM38eXvZyX2gJ8y2Jf9cVezBHOCS0NQ,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0juAGMgNoVbsCL90gxJtk5WIgiRCNBT-byJetNVIO_-v_iWlDB3PSeN4E,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0juTT2fuSsgTVfmHpZx1oZC8-033t4qN6CodTpV2MCraJcmYSBcOqU63o,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0Jz8UcRAN3mBiQvw2rvLoMlGy6kYdW20yLf-WoIDvELSBds6z5Bs_rrTg,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0k36qECTTB6Kyg6KUo-EwSuDTSr9a-SJJhPl1pujQQ5rmAL5zutWN-5H0,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0K65zd3Mrc-NlBWpR-bLGApKiYnyTI7ju1xTOcDRFdWmniW9a7yzvodG8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0K7VJZifv1RpyX-6R1q6c52xUkhSsxFf8U72NbVSHV2gpBtjnHs9SVw9w,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0KRvWP7-HgmZv9KJCjaAjHyK8Aoy0Q52pvAmN-eK5YrmCkxQwM7o01-aE,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0L4M6jmsC2JUt7poRhnQy2vEvktvU9W6IyL0oHASPfP4E9ArGuthwYsYE,1,25,25,0,0,2,25,2,1,50
/?fbclid=IwAR0lEwU2FVcHXghJeOxUVXvwjWbe2YuW21puWUa6RoqHAIRY0jYu5M-UQG0,1,494,494,0,0,18,29.11764705882353,18,1,5.555555555555555
/?fbclid=IwAR0lOIzUFgbsNJlS1ZnkStYjZmYIKKJcLd103nPV4k106PLiAYys8SvUhlE,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0m-gDM8elEAvriKkM4mn9ZJwN3AzcQZyABm2ZqkDTK4XinFpULkZYJ16g,2,0,0,2,100,2,0,1,2,100
/?fbclid=IwAR0md8o_AfVxCsP3RiTnMwb_GW9wbhYt6xSKhiDwfMqJJCPRH839aQALPVM,1,20,20,0,0,2,20,2,1,50
/?fbclid=IwAR0MEzUvhnnHFYl76_TfM1W5w9L4ZzIIXQgF2B0PdVDDz4xyOlQOpoLHcNg,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0MQ3RaT8YdCMEwNkITBdSQ73oo2YqRwYulyY7TIyi9kuA6QxswbTon1wU,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0oGTYebhcyrDR8V5rQ7QJHCz4r8Tii5IyTncHKWoQ5-NQWpTIS646KsM4,1,40,40,0,0,3,20,3,1,33.33333333333333
/?fbclid=IwAR0omQ5geWu0rm8AEofYAf_DGhzpyEopJDNh7yW2_0WE5hmrPhjao5aoi94,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0OONVgubcjOtnloierKL0y3X0eHuHN0EwYaar5PVN5ph2sRPBex1CeeRg,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0P5WnKYrcip7Hq8q-V0YUJYSYbgMfPgZ3sso49mtCaspiZtU7Y4r6hnfY,1,480,480,0,0,2,480,2,1,50
/?fbclid=IwAR0PA2Wmfx0be-liQnS27xsodHaDYQRSxzJ7ek7-xna2Ebl5W3T7CZfGrwc,1,119,119,0,0,5,29.75,5,1,20
/?fbclid=IwAR0pOqh7gFXuOGM6QpOgNc1nvcJ2_oQ4V_PLtOcBtxevgCrnHhH9jgSLdac,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0Ppb4R0zK4FcJeswRZqQCEKOgWxjhjQxqTPVHGUIUJPPcYslEXZgLTHvA,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0PWZSy4gP3PKqwKjcspgjB8Yfc1Bx2UZfCnSi9TDt5U3dExznBKX6Pwks,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0pxuHB51tk61eJHM7uuDQVM1I_ZuHgIqfjD9LoGVTE3YIyaK605yccnws,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0Q-yvP28_qXWRWKALBvrpFXlWSrcZJRjtetdwi94mSiWPyO3z9oZnXVD8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0qCw7kXLRJSG3K5F8Ce_I-ZVC68UTmCVngmhamhO5YFjPD9fJDMfkeRvU,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0rjBIRJuBfwkr4tQUEks1vQwTuVDhjN1t94wd3UXJVPNh11cclOmG_REM,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0RMMarIU_Ozr_CYX3OyLRJIxaWB6mX5XB2NwmX904B4HCD6vRhU2010fE,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0rYZVS3WYLVI29wmZdZojjlvasnpA8u4kllM8IpyI2llxLFz-cz-Po5Ug,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0s58BYCweuO9c1bc095P2qy44dp3QAGNVf3PoabNcvKftpM6VN4Q_ViZ8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0S9EDguNAiHhLoy6y6aI0HKDxw9jlYwKgHW2WM_LJpEtcLJsEC9Ja8f2c,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0ScyMH7zbotuPNJ4LX1dMyF2zH8LZEO0ZDxxLWvOEAklYOSDYo77d4L9I,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0TffBIJQTPLnOlepU139ezl955Sm9_0iMYgDM_7TQWSM8GvaPvXdrMn88,1,16,16,0,0,2,16,2,1,50
/?fbclid=IwAR0TI57Y5BlwBmdXiac5UP9X2xPNNtkhnjxG6wh_FlgH5hhIPBzrxz1eD-g,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0TsrkMFedI85ST2d2LYY4XOws52TSZdv-bRhSCEPhtprCu0P8Z-bxQZa0,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0twX9Il1Cj4yrdOw4_zM1hj7EucdrzQk28SaKwGoTD2_egdkaVSgCGs4o,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0V3crGkCsGgWzvwkfhfTUIUNHYpXKCV7gMbDViWWgn2XexyNJbTrAWX20,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0Vaa2S_XrJ0qmaK2cJNpC1JEfiM1i4jNlLjeRhxhgUjjzsN5Z3ztu8cTQ,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0VabwF4Lm9-Rkt8VoAVbfw_XDfEZyjEGSJTTuUbCcYhDpH97X6uoEa9Ak,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0vKb9J8-BtNXRGhWAlQ0WE2WJrSaL1WsfsKG6AR-t8RWSQhZ6iPvP5zHU,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0vnKCk-Ev2Wb8KD4Nj3DaVDPbci0jPIT4hLcjqBDoLHq2b3c_MHILa4Q8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0Whe6g47X5uWxAsuTIIu7d3Pmnszz_i3TRtxicXk-H1cgdfIQxWkYrz3I,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0WUkFNpZbExI0_3QKsodXcNsx4aLcy0RoNMkj0EL-xWK7_fpG4MhxaWQQ,1,13,13,0,0,2,13,2,1,50
/?fbclid=IwAR0y1MBOvrUrB_rnnaq_sO0X-QapJMl_UCbh8Ms7niqizA8YEd0rhmk9icw,2,0,0,2,100,2,0,1,2,100
/?fbclid=IwAR0YGzTqQ49tkYKQpMivWj6ubDyYQcAdaPWn_HqjwTR1Pbze9YttCh6rQsU,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0YWNL0hekxIjPIXZOynj5zj8_w1-rN3tvgoDlT0_UvogN0nGJhxZO63Lc,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0YzBq-Z7vbCDTPYKAbiiHPpjirQ8ggL38AWnzyS9JKTLILb1FLj5Knq5s,1,129,129,0,0,4,43,4,1,25
/?fbclid=IwAR0ZA9whAyV12B8YrZFecyAzvIRimVOO5rImsDx65X1L_2zDeAM_VSUHNaA,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0zCktWcnOzcNNwcW3Rh3jKrgLc1SuJCo3UsEbUc98uyFYxG_9Jho2yT34,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0zGd-Yhn7nkjbpdI0HptJpoveUATzgfMQSAuO_Be5f-0XggAjq8lV_Neg,1,63,63,0,0,3,31.5,3,1,33.33333333333333
/?fbclid=IwAR0zmzjnstWwc6bnSHymAEI4_SdehTePYvpvp7YqpqYmp8DGOBGqxIHTRA8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1_iVLpRJki0K4_3qLT997YXHnnSNUTGa7Jl6SPjXkY_crRo8CqKXYOXpk,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1_zn3ZMBMPIuAg1HQoM9ZDB2r4GFeTy4Jw65h4iJQTEs7yDT-EqpcUUj0,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1-Wg1WIpSsYqUYgATH_AEF-VWSMQ4EYYcFaEU8kYto0sDsWLnmiVj9RW8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1-zo3OawOavZhwvX7fBQxtcDAbbBJihZ__HfW8PZGWnNG859BpviLCxJ8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR10-heohT1gBYPkDCByKMAUBLcNDLYFbd81s8-L196CmbHINPdBTnj7d5w,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR11RWRp1b1vZ6p3uWKxFIEBc2RrIsWs-61vECXoK86kQUA5mCDi9hSYMfY,1,86,86,0,0,4,28.666666666666668,4,1,25
/?fbclid=IwAR12G2K1B5NO-8z-PmMcGkbZaCZmsUEsooIrCHSsLlfTaK0dtuMdbReAq2E,1,152,152,0,0,3,76,3,1,33.33333333333333
/?fbclid=IwAR12Rh4a7sUnQ1f0XoPHK4Iova6_u-EolCiUpIARoYR3SIeeMx2D0LVvuRo,1,275,275,0,0,5,69,5,1,20
/?fbclid=IwAR12WRIZojfh6e3xV_95X0l3aOA0p_6lZEIUaOMCx0VkWBpVcFdW_EPmhK8,1,20,20,0,0,2,20,2,1,50
/?fbclid=IwAR14cjCSjjh7SaIyqccvN75QHz4N-uQgUdmwa3XsG34ajy63f0u1knlL3so,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR14JJcwzKcdmT09jLZ-ShT28jZvUIoSCg_lsolAKzjRKbMnamjrQfxhNZM,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR14wmehlbEFTPvjyPr5R1LitVy4IHEnuTdn-NH3hafplFLlxijIGShRhC8,1,1009,1009,0,0,8,144.42857142857142,8,1,12.5
/?fbclid=IwAR15rxCb2pcS-aJ6-7V2EXuzrF277feCbPGw5-cYLLZYTVKYJ3I-HVKsVio,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR164Ky7gaDctdC4mHJ0PXwzBCOG-ue9WXmr201fbrJLQGmGeuzB2JKtVU4,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR16PVgCkKr5Q6QeI5nFWQt99mooqcd6dHZ9eMp7NlyWl3eSl4-K-tcgFzs,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR17TbC70yxDZ8dnCUAM8ZYxYheHuwG_e8zaK3OSrff0yTD51CJlU6vTF1M,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR18g5gRNhIctPPX1kSCPfBISGfmkrXKkJ0qN61s-OPy5UWFK5B70Fv_wxg,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR19rTCZrm-vFDqLqfAXBQDDNuS_kAP4NV7A-k1ezCcGv7w4fLGsNVZEMns,2,0,0,2,100,2,0,1,2,100
/?fbclid=IwAR19tBZSh7eTUgoKB4B_EHBweK47NPuTcVCXFDtxlqWQEJPLo3E_1va_AeU,1,138,138,0,0,9,17.25,9,1,11.11111111111111
/?fbclid=IwAR1A_vZOTjdLtHCFZz5aEMHHwQRtuffnDjHw3VP-wiIrilLg5_vgKeN-jho,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1A4ReMACr_HiBBgJc6GdZnMNj-Y4HOOodrjY5v6IZQUQgHguYnSo05wWs,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1AhkBOPfL6qvSQCr4kvumOjN09lx6M8JSmGoU-8NsMmqzpVVauW_OFOXw,1,2,2,0,0,2,2,2,1,50
/?fbclid=IwAR1b0wQamCMotbjCKXyELfCKPOUaPVBsSz8lZPuNdM7rZn1dl3jKTmQp0ak,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1bTo9znfqGZgOlM7MbmAulUjeObVtHYTqM4ai3jB3vfYrmhhawQxlrDFM,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1C9wVrwBJn7T8xrQbr8O0DZlTBaxLd9PQwCBqBX8x0gubBSOmJGdmWl1g,1,627,627,0,0,11,62.7,11,1,9.090909090909092
/?fbclid=IwAR1cwb_0q270nSdYScRiHod6SDWKgDlbRL8e8sHKa9rMIZ6Nu--jmMWkstg,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1cxjE0S1ulQJj0xSGJFSLNvhQuHRJYZI0P6WAh_Z1zFBeZvrCJdCiRIhs,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1dGfHq63i2GFZYxxOSXntkkHiIVfzkLyaql-I9EdcygXVWbA-oCLPUZwI,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1DMNJnZ1QrEXmytuK1JiRBZ3ucFmPS74mriSzIns8xtU9N4_p6ycwH4gs,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1dy-jF4bSiNqX3LZs_GnBHIrozf7u_C5Oy3Nu7lp4hRpQsAH25Rkbthn4,1,16,16,0,0,4,5,4,1,25
/?fbclid=IwAR1dz7z_lfsAD9-fQVM1FmUnIFgKngEozjUbL8qyJoUN5c0ICjSh3xWkbSs,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1e1TBLZBZvDZ6PEBpV0El6aMKAtbFlfv88Dk-hGJRK0-rgPXRaDITF3f8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1EgNPPd73_-_aocl4WVQN9795KHaMDlNO9mQBjuWjlTFvo7s18MWO9Bes,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1eqxCPCnsvRlYKuHXbMpkOzaBiaJNlOlQCAQ_IuJfYcL2IpSsITRs3OhY,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1eWpMU1aeHU0SYl61HVTtyEw7KwdWjHQkHMnYb5A7wWaGMcpotwe4zX6M,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1Fr0sWswFmCNRZyGM9ZLKCf6dnhbTMl_xjy8PuhCGLBLf_osxR9t_LXS4,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1fzuEoC8ewlEYn8UWHW6AHS9PwiL4gJaU2qquJy3tdaqc8iiq9O5ysEns,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1gjvLbeCGTcg-GiDSt3sMeZ8_hWqLXDVah4MBD5n5rKIETBIfkAbBimXM,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1greBE5M9eUQO8ULn9dbvqDwb2Jfgeap3Q4DLbz8qbz9HwUWwLSg_I6gg,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1Gtcqh849Lovz2CyJzFK4drqZv8PNp2bhDMYLbSEWPKg9GPDZAChXVx9k,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1gUdpVBtUu7h0At_iiKB9QffQCDx2HA8QePcrG9IC81jq2SXlMNGyTx_4,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1GUSLeSWr8gA5YXXovhCRaLfaZJuYEvzPrUg-u83SXD6KkrfWf8psDgfg,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1Gxxd0dpNZD6Tqp9Lma3eXOkgrxFy6ojDHOq1xGkPf9mGMFXqA6-S9VLo,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1h-Fn0mhsJi2LE9bdTQPAXZzdWO6MhFgN3u6PU_93Vi8_uVCcuLj42ZtE,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1HAjhGTC27OFoP3LXayKM1qFm9jW9kjTuYgL4cX5pFa6To6T3PZgj5juM,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1HnHnntT_t_0jX9icat9bIdRwPNvkXPtUWN181UV1RqsmvFVSeh2XvYUw,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1HPH0mvf3oLAi4boVVaZwQudAYdsGw8TU8JCtZoDjUdoE3MhHyILIoYrA,1,4,4,0,0,2,4,2,1,50
/?fbclid=IwAR1HWMVx3Ol00ZK4BeUk9zxbb1j40_jvn-oepicMl5yP1huSF7QtUsFmpjo,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR1hWRYiMPCLCoA_iyAfSx4-FA0hg19ODJBFIbcuFnJQc5Fs3TmWgh6x4Vw,3,0,0,3,100,3,0,1,3,100
/?fbclid=IwAR1idIIuVqKjBB8D6NyFlMHL6o5APySsbAxawRj65ArDkAoyT8b-hnyJVYk,1,583,583,0,0,4,194.66666666666666,4,1,25
